+-------+-----+-----+-----+-----+--------+------------------------------------------+---------+--------+--------+--------+--------+--------+--------+--------+------------+------------+------------+------------+
| COUNT | 2XX | 3XX | 4XX | 5XX | METHOD |                   URI                    |   SUM   |  AVG   |  MIN   |  MAX   |  P90   |  P95   |  P99   | STDDEV | MIN(BODY)  | MAX(BODY)  | SUM(BODY)  | AVG(BODY)  |
+-------+-----+-----+-----+-----+--------+------------------------------------------+---------+--------+--------+--------+--------+--------+--------+--------+------------+------------+------------+------------+
| 160   | 9   | 0   | 144 | 7   | POST   | /login$                                  | 204.348 | 1.277  | 2.860  | 10.001 | 8.536  | 10.000 | 10.001 | 3.072  | 0.000      | 3213.000   | 23242.000  | 145.262    |
| 11    | 5   | 0   | 6   | 0   | POST   | /user                                    | 80.917  | 7.356  | 2.428  | 10.001 | 10.000 | 10.001 | 10.001 | 2.777  | 0.000      | 6518.000   | 32582.000  | 2962.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /initialize$                             | 44.552  | 44.552 | 44.552 | 44.552 | 44.552 | 44.552 | 44.552 | 0.000  | 18.000     | 18.000     | 18.000     | 18.000     |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/3700544641/present/receive         | 0.128   | 0.128  | 0.128  | 0.128  | 0.128  | 0.128  | 0.128  | 0.000  | 14634.000  | 14634.000  | 14634.000  | 14634.000  |
| 2     | 2   | 0   | 0   | 0   | POST   | /user/1577/present/receive               | 0.104   | 0.052  | 0.040  | 0.064  | 0.064  | 0.064  | 0.064  | 0.012  | 2206.000   | 5828.000   | 8034.000   | 4017.000   |
| 2     | 2   | 0   | 0   | 0   | POST   | /user/1478/present/receive               | 0.100   | 0.050  | 0.040  | 0.060  | 0.060  | 0.060  | 0.060  | 0.010  | 2206.000   | 5828.000   | 8034.000   | 4017.000   |
| 2     | 2   | 0   | 0   | 0   | POST   | /user/1706/present/receive               | 0.092   | 0.046  | 0.044  | 0.048  | 0.048  | 0.048  | 0.048  | 0.002  | 2207.000   | 5828.000   | 8035.000   | 4017.500   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/6479030111/gacha/draw/37/10        | 0.088   | 0.088  | 0.088  | 0.088  | 0.088  | 0.088  | 0.088  | 0.000  | 1982.000   | 1982.000   | 1982.000   | 1982.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/3349025359/gacha/draw/37/10        | 0.084   | 0.084  | 0.084  | 0.084  | 0.084  | 0.084  | 0.084  | 0.000  | 1982.000   | 1982.000   | 1982.000   | 1982.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1688185485/present/receive         | 0.084   | 0.084  | 0.084  | 0.084  | 0.084  | 0.084  | 0.084  | 0.000  | 8336.000   | 8336.000   | 8336.000   | 8336.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/3349025359/present/receive         | 0.084   | 0.084  | 0.084  | 0.084  | 0.084  | 0.084  | 0.084  | 0.000  | 8119.000   | 8119.000   | 8119.000   | 8119.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/5529921282/present/receive         | 0.080   | 0.080  | 0.080  | 0.080  | 0.080  | 0.080  | 0.080  | 0.000  | 8124.000   | 8124.000   | 8124.000   | 8124.000   |
| 1     | 1   | 0   | 0   | 0   | GET    | /admin/user/3700544641                   | 0.080   | 0.080  | 0.080  | 0.080  | 0.080  | 0.080  | 0.080  | 0.000  | 40945.000  | 40945.000  | 40945.000  | 40945.000  |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/5529921282/gacha/draw/37/10        | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 1982.000   | 1982.000   | 1982.000   | 1982.000   |
| 2     | 1   | 0   | 1   | 0   | POST   | /user/3700544641/gacha/draw/31/10        | 0.076   | 0.038  | 0.004  | 0.072  | 0.072  | 0.072  | 0.072  | 0.034  | 46.000     | 2137.000   | 2183.000   | 1091.500   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1688185485/gacha/draw/37/10        | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 1983.000   | 1983.000   | 1983.000   | 1983.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1577/gacha/draw/37/10              | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 1922.000   | 1922.000   | 1922.000   | 1922.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1478/gacha/draw/37/10              | 0.076   | 0.076  | 0.076  | 0.076  | 0.076  | 0.076  | 0.076  | 0.000  | 1922.000   | 1922.000   | 1922.000   | 1922.000   |
| 1     | 1   | 0   | 0   | 0   | POST   | /user/1706/gacha/draw/37/10              | 0.072   | 0.072  | 0.072  | 0.072  | 0.072  | 0.072  | 0.072  | 0.000  | 1923.000   | 1923.000   | 1923.000   | 1923.000   |
